1.600	15.430
4.800	13.000
8.000	11.910
11.300	11.200
14.500	10.690
17.700	10.280
20.900	9.950
24.100	9.670
27.400	9.440
30.600	9.240
33.800	9.060
37.000	8.910
40.200	8.770
43.500	8.650
46.700	8.540
49.900	8.430
53.100	8.340
56.300	8.250
59.600	8.170
62.800	8.090
66.000	8.020
69.200	7.950
72.400	7.890
75.700	7.830
78.900	7.770
82.100	7.720
85.300	7.670
88.500	7.620
91.800	7.570
95.000	7.530
98.200	7.480
101.400	7.440
104.600	7.400
107.900	7.370
111.100	7.330
114.300	7.290
117.500	7.260
120.700	7.230
124.000	7.200
127.200	7.170
130.400	7.140
133.600	7.110
136.800	7.080
140.100	7.050
143.300	7.030
146.500	7.000
149.700	6.980
152.900	6.960
156.200	6.940
159.400	6.920
162.600	6.890
165.800	6.870
169.000	6.850
172.300	6.840
175.500	6.820
178.700	6.800
181.900	6.780
185.100	6.760
188.400	6.740
191.600	6.730
194.800	6.710
198.000	6.700
201.200	6.680
204.500	6.670
207.700	6.660
210.900	6.640



